Branch,Author,Commits,Additions,Deletions
andrea,AndreaMoraledaBlanco,4,7213,3310
andrea,carrillo-p,1,163,0
andreaordenado_mysql,AndreaMoraledaBlanco,3,184,11
andreaordenado_mysql,carrillo-p,16,680521,10219
andreaordenado_mysql,freddyjmc,3,1282,515
carr-ordendado,carrillo-p,10,62242,61202
carri,carrillo-p,5,116933,398
dev,AndreaMoraledaBlanco,4,281,4
dev,carrillo-p,10,1213055,1010166
dev,freddyjmc,3,328,9
emma,EmmaMontalbanA,7,847231,217510
emma_feedback,EmmaMontalbanA,5,2029,266
feedback,EmmaMontalbanA,2,121,95
feedback,carrillo-p,1,31,19
freddy_ensayos,freddyjmc,3,111394,1999
freddy_test,carrillo-p,1,208,1
freddyordenado,carrillo-p,1,2,0
javier,jgregoris,1,104026,0
main,EmmaMontalbanA,2,377761,73
main,carrillo-p,14,58,56
main,freddyjmc,1,437266,0
mysql,AndreaMoraledaBlanco,3,31531,31394
red_neuronal,carrillo-p,2,535,48
sreamlit_mysql,AndreaMoraledaBlanco,3,305,32
streamlit_feedback,EmmaMontalbanA,1,237,0
streamlit_feedback,freddyjmc,1,22,58
